Collection,Number,Species,Ecomorph,Ground,Region,SVL,TL,HL,SL,HW,Humerus,Radius,Hand,Femur,Tibia,Foot,Finger.III.W,Toe.III.W
USNM,314382,longitibialis,Unknown,Unknown,Caribbean,70.93,,22.09,9.95,13.32,13.26,13.88,12.47,20.09,21.7,25.52,1.53,1.84
USNM,578758,loveridgei,Mainland,Mainland,Mainland,116.8,237,33.9,16.2,20.5,15,17.7,23.9,28.1,31.5,43.4,2.6,2.9
USNM,498028,loysianus,Trunk,Trunk,Caribbean,38.23,48.76,10.8,4.79,6.6,5.99,5.76,6.55,7.22,7.79,11.31,0.84,
MCZ,74036,loysianus,Trunk,Trunk,Caribbean,39.33,,11.88,5.11,6.96,5.56,6.13,6.78,7.59,7.9,11.65,0.95,1.02
CAS,39300,lucius,Unknown,Unknown,Caribbean,52.9,104.5,15.2,7.2,9.6,8,8.8,9.9,11.8,16.1,20.3,1.4,1.6
USNM,498031,lucius,Unknown,Unknown,Caribbean,62.65,131.13,17.25,7.89,10.56,10.23,11.55,11.82,16.85,17.87,22.19,1.75,2.08
USNM,498034,lucius,Unknown,Unknown,Caribbean,63.93,132.12,17.26,7.78,10.51,11.65,11.88,10.93,16.83,18.19,21.79,1.64,2.04
USNM,498036,lucius,Unknown,Unknown,Caribbean,65.16,130.23,17.14,7.72,9.97,10.68,11.59,11.95,17.46,17.94,22.04,1.76,2.13
USNM,498045,luteogularis,Crown Giant,Crown Giant,Caribbean,178.9,318.7,49.6,26.5,30.7,24.4,23.8,26.1,31.1,37.2,47.8,4.4,5.6
USNM,541954,lynchi,Mainland,Mainland,Mainland,43.4,85,10.9,5.2,7.2,6.9,6.3,8.8,12.7,13.6,17.9,0.7,1
USNM,541956,lynchi,Mainland,Mainland,Mainland,46.9,94.5,11.9,5.2,7.3,7.3,7.2,8.8,12.6,14.7,19.4,1,1.2
USNM,285809,lyra,Mainland,Mainland,Mainland,58.93,,15.43,7.08,10,8.13,8.08,11.27,13.58,15.85,22.29,1.26,1.47
USNM,285445,lyra,Mainland,Mainland,Mainland,59.95,,15.6,6.53,9.6,8.64,8.37,10.99,13.95,16.53,22.85,1.38,1.72
MCZ,145867,lyra,Mainland,Mainland,Mainland,62.45,147.7,15.19,6.29,,9.26,9.42,11.24,16.23,17.35,24.88,1.31,1.63
MCZ,133000,macrolepis,Mainland,Mainland,Mainland,61.06,102.56,14.49,6.31,8.7,9.46,9.62,11.08,15.94,17.06,21.54,1.03,1.36
USNM,234616,maculiventris,Mainland,Mainland,Mainland,40.1,64.3,10.5,4.7,5.4,4.8,5.6,6.4,9.8,10.8,14,0.6,0.7
MCZ,184540,magnaphallus,Mainland,Mainland,Mainland,47.23,82.47,12.3,5.66,7.77,6.84,6.75,9.26,11.63,13.08,18.87,0.85,0.98
USNM,549625,marcanoi,Trunk Ground,Trunk Ground,Caribbean,59.13,117.17,19.29,9.15,11.38,9.77,10.01,10.34,15.42,16.64,22.06,1.1,1.28
MCZ,156631,mariarum,Mainland,Mainland,Mainland,46.61,93.65,11.95,5.38,6.86,6.13,6.66,7.3,10.67,11.23,14.54,0.93,1.11
MCZ,175784,mariarum,Mainland,Mainland,Mainland,52.9,115.64,14.61,7.17,8.72,6.39,6.78,7.77,11.48,12.84,16.52,1.08,1.32
MCZ,124735,marron,Trunk,Trunk,Caribbean,47.19,76.54,12.96,6.4,8.64,6.4,8.28,8.67,11.6,13.42,13.75,1.1,1.31
MVZ,256807,matudai,Mainland,Mainland,Mainland,56.28,109.13,15.12,6.58,9.46,8.48,7.84,9.18,13.25,14.58,19.74,1.11,1.27
MVZ,217367,maynardi,Trunk Crown,Trunk Crown,Caribbean,54.26,113.99,16.06,8.47,7.63,7.04,7.04,7.6,10.01,12.1,16.18,1.01,1.39
MVZ,217368,maynardi,Trunk Crown,Trunk Crown,Caribbean,59.92,116.6,18.33,9.61,8.98,8.19,8.28,8.32,11.38,13.62,17.52,1.22,1.56
USNM,565478,mccraniei,Mainland,Mainland,Mainland,50.4,86.2,12.9,5.7,8.8,6.8,7.6,8.3,10.9,14.6,19.8,0.8,1
MCZ,168521,medemi,Mainland,Mainland,Mainland,45.03,85.2,10.86,5.36,5.84,6.91,6.77,7.4,11.35,12.05,15.83,0.7,0.69
MCZ,78716,megapholidotus,Mainland,Mainland,Mainland,37.4,67.62,10.43,4.82,6.25,4.99,5.48,5.21,8.15,9.36,12.24,0.59,0.74
MCZ,79125,meridionalis,Mainland,Mainland,Mainland,43.09,86.5,10.44,4.63,6.41,5.66,5.61,6.5,7.45,10.33,14.78,0.6,0.61
USNM,498057,mestrei,Trunk Ground,Trunk Ground,Caribbean,58.2,107.15,15.94,7.01,9.33,9.41,9.35,9.76,13.53,16.06,20.5,1.18,1.43
MCZ,33697,microlepidotus,Mainland,Mainland,Mainland,39.27,70.61,10.79,4.57,7.61,5.13,4.78,5.34,7.82,8.73,12.12,0.82,0.87
USNM,120957,milleri,Mainland,Mainland,Mainland,54.5,101.5,16.1,7.9,9.3,7.8,8.5,10,15.1,15.6,19,0.9,0.9
USNM,212288,monensis,Trunk Ground,Trunk Ground,Caribbean,55,98.27,16.26,7.79,9.98,9.23,8.78,9.95,13.2,15.81,18.98,1.2,1.42
USNM,329235,monticola,Unknown,Unknown,Caribbean,35.55,86.94,10.39,4.73,5.73,5.19,6.22,6.07,10.54,10.77,15.09,0.69,0.79
MCZ,127719,monticola,Unknown,Unknown,Caribbean,41.18,,11.52,6.02,6.48,6.08,6.46,7.11,10.95,12.82,17.89,0.62,0.78
USNM,578764,morazani,Mainland,Mainland,Mainland,46.79,126.25,13.52,6.88,8.68,7.37,6.77,9.01,10.59,13.5,17.44,0.92,1.08
MCZ,185614,morazani,Mainland,Mainland,Mainland,45.99,119.02,13.2,5.96,8.16,6.17,6.73,8.41,11.32,12.75,17.4,0.83,0.95
USNM,581187,morazani,Mainland,Mainland,Mainland,46.41,,12.94,5.96,7.79,6.34,7.19,8,11.44,12.45,16.47,0.87,0.95
USNM,521918,muralla,Mainland,Mainland,Mainland,46.12,107.77,12.88,6.06,8.17,5.9,5.85,7.3,9.51,11.04,15.33,0.97,1.08
USNM,237722,nebulosus,Mainland,Mainland,Mainland,50,88.7,13.1,6.1,7.9,7,7.5,8.4,10.7,13,15.9,0.9,1.2
MCZ,59326,noblei,Crown Giant,Crown Giant,Caribbean,160.21,343.5,53.99,30.35,33.9,22.75,23.29,25.43,33.89,37.95,45.75,4.13,5.61
MCZ,100355,notopholis,Mainland,Mainland,Mainland,47.59,106.97,13.15,5.71,7.98,7.2,7.56,8.93,14.13,14.82,19.78,0.8,0.84
MCZ,83662,occultus,Twig,Twig,Caribbean,35.56,34.75,9.92,5.4,4.62,3.31,2.97,3.12,4.3,4.61,6.43,0.52,0.65
USNM,314396,olssoni,Grass Bush,Grass Bush,Caribbean,41.9,121.7,10.9,4.8,5.6,5.4,5.4,5.5,9.2,10.7,14.9,0.7,0.8
USNM,314395,olssoni,Grass Bush,Grass Bush,Caribbean,46.3,136.3,12,5.6,5.8,6.4,5.6,6.2,9.7,11.1,17.1,0.6,0.9
MVZ,106305,omiltemanus,Mainland,Mainland,Mainland,43.6,71.3,12.1,5.9,7.4,4.9,5.3,6.5,8.1,8.8,12.1,1,1.2
USNM,216908,onca,Mainland,Mainland,Mainland,67.3,,18.7,8,11.7,10.9,11.5,12.7,15.3,18.4,25.9,1,0.7
USNM,107321,onca,Mainland,Mainland,Mainland,93.8,170.4,25.1,11.1,15.1,13.5,16.5,15,18.5,22.5,30,1.3,1.1
USNM,252190,opalinus,Trunk Crown,Trunk Crown,Caribbean,51.2,100,15.2,7.5,9,8.6,8.1,9,10.4,12.3,17.6,1.2,1.4
USNM,252191,opalinus,Trunk Crown,Trunk Crown,Caribbean,54,102.5,15.7,7.4,9.3,8.6,8.1,9.4,10.6,13.5,18.3,1.4,1.7
USNM,515913,ophiolepis,Grass Bush,Grass Bush,Caribbean,36.1,88.8,9.4,3.8,5.2,5,4.5,4.9,6.5,7.9,12,0.5,0.6
USNM,234656,ortonii,Mainland,Mainland,Mainland,42.6,71.9,11.4,5.8,7.1,6,6.8,7.5,8.7,9.3,14,0.9,1.1
USNM,219564,osa,Mainland,Mainland,Mainland,48,,12.3,6.1,7,7.2,7.6,8,13,14.1,17.2,0.7,1
USNM,219565,osa,Mainland,Mainland,Mainland,50.7,100,12.9,6,7.3,7.2,8,8.1,13.7,15,17.6,0.8,1
USNM,219563,osa,Mainland,Mainland,Mainland,51.2,108.1,13.5,6,7.8,8.4,8.8,8.3,12.6,14.8,18.2,0.8,1.1
USNM,219562,osa,Mainland,Mainland,Mainland,52.9,,13.6,6.5,7.5,8.3,8,8,13,14.8,17.9,0.8,1.1
USNM,518297,oxylophus,Mainland,Mainland,Mainland,61.59,107.11,15.03,7.09,9.22,8.88,9.21,9.59,16.24,16.64,21.28,1.02,1.12
MCZ,78935,parvauritus,Mainland,Mainland,Mainland,79.58,187.3,19.78,9.26,13.13,10.66,10.29,14.62,17.54,18.96,26.68,1.52,1.61
USNM,20610,parvauritus,Mainland,Mainland,Mainland,85.81,,22.41,10.18,14.03,10.43,10.74,13.71,17.17,19.22,26.62,1.71,2.06
USNM,142164,paternus,Twig,Twig,Caribbean,41.3,,12.5,6.4,6.7,4.9,5.4,5.6,6.7,8.7,11.5,0.8,0.9
USNM,142159,paternus,Twig,Twig,Caribbean,42.2,,12,6.5,6.6,5.1,5.5,5.6,6.3,8.6,12.2,0.9,1
USNM,142157,paternus,Twig,Twig,Caribbean,43,76,13.2,6.5,6.9,5,5.6,5.5,6.9,8.6,12.5,0.9,1
USNM,142164,paternus,Twig,Twig,Caribbean,43.4,,12.7,6.9,6.4,4.7,5.5,5.9,7.5,8.5,11.8,0.7,0.9
USNM,298136,pentaprion,Mainland,Mainland,Mainland,54,76.1,14.8,7.1,9.1,7.2,7.3,8.5,9.2,10.2,14.5,1.1,1.1
USNM,142284,pentaprion,Mainland,Mainland,Mainland,55.2,71.3,15,7.3,9.2,7.3,7.4,8.2,9.2,11.1,15,1.1,1.3
CAS,169849,petersii,Mainland,Mainland,Mainland,95.1,260.2,24.7,12.4,15.4,11.9,12.5,15.5,20.4,21.5,29.3,2.1,2.5
USNM,322875,pijolense,Mainland,Mainland,Mainland,52.28,89.33,14.82,6.7,9.05,8.32,8.22,10.59,13.71,14.82,20.65,1.02,1.15
USNM,322871,pijolense,Mainland,Mainland,Mainland,53.42,101.85,15.15,6.57,9.63,8.3,8.48,9.57,12.96,15.1,19.96,1.25,1.41
MCZ,110542,pinchoti,Mainland,Mainland,Mainland,47.95,84.01,13.28,6.46,7.76,6.2,7.33,7.31,11.05,12.6,17.55,0.98,1.14
MCZ,173208,placidus,Twig,Twig,Caribbean,43.78,44.44,12.17,6.45,5.54,4.58,4.82,4.26,5.95,6.23,7.82,0.64,0.68
USNM,562620,planiceps,Mainland,Ground,Mainland,53.5,114.7,13.8,5.7,8.2,8.9,10.4,10.1,15.6,17.8,22.4,0.8,0.8
USNM,562621,planiceps,Mainland,Ground,Mainland,54.8,115.6,14.2,6.3,9.1,9,10.3,9.8,16.6,18.7,21.9,0.8,0.9
USNM,562622,planiceps,Mainland,Ground,Mainland,62.2,130.4,16.1,7.5,10.1,9,10.8,11.7,17.1,19.6,25,0.9,1.1
USNM,50149,poecilopus,Mainland,Mainland,Mainland,57.18,,21.61,6.51,8.78,7.4,9.32,11.41,13.51,18.49,19.53,1.12,1.3
MCZ,164393,poecilopus,Mainland,Mainland,Mainland,60.73,107.11,15.01,6.3,8.95,7.66,9.04,10.34,16.18,17.07,20.77,1.07,1.41
USNM,148507,poecilopus,Mainland,Mainland,Mainland,61.17,,23.71,6.68,9.06,7.42,9.45,10.81,15.46,17.24,20.22,1,1.24
MCZ,127052,pogus,Unknown,Unknown,Caribbean,42.94,112.97,12.95,6.24,6.84,7.08,6.22,7.63,9.5,12.62,16.85,0.73,0.96
USNM,498074,porcatus,Trunk Crown,Trunk Crown,Caribbean,65,128.5,21.6,11.1,10.8,8.8,8.3,8.8,11.1,13.3,17.7,1.5,1.8
USNM,498073,porcatus,Trunk Crown,Trunk Crown,Caribbean,68.2,134.3,22.2,11.8,11,9.8,8.6,9.6,11.1,13.6,18.9,1.5,1.8
USNM,498081,porcatus,Trunk Crown,Trunk Crown,Caribbean,72.6,146.8,24.7,12.7,12,10.4,9.3,9.7,12.2,14.4,19.3,1.8,2.1
MVZ,241274,porcus,Unknown,Unknown,Caribbean,146.12,160.06,44.55,22.42,26.99,18.4,19.02,21.24,24.18,25.34,32.67,2.93,3.39
USNM,527780,pulchellus,Grass Bush,Grass Bush,Caribbean,45.4,120.3,14.3,6.8,7.2,5.3,5.8,6.4,8.6,10.8,15.2,0.9,1
USNM,498097,pumilus,Unknown,Unknown,Caribbean,32.96,66.68,8.45,3.76,5.46,4.73,4.85,4.45,5.93,6.49,8.5,0.72,0.83
USNM,344815,purpurgularis,Mainland,Mainland,Mainland,55.12,115.33,15.66,7.49,9.36,9.1,8.81,10.83,13.83,15.71,21.76,1.1,1.22
USNM,563057,quaggulus,Mainland,Ground,Mainland,33,52.2,9.2,4.2,4.9,5.5,5.1,5.4,8.4,9.8,13.2,0.5,0.6
USNM,563061,quaggulus,Mainland,Ground,Mainland,35.1,53.4,9.5,3.9,5.9,5.6,5.1,5.5,8.6,10,12.5,0.5,0.6
USNM,29860,quaggulus,Mainland,Ground,Mainland,35.26,,10.08,4.23,6.01,4.74,5.61,5.63,7.81,9.73,12.15,0.47,0.55
USNM,47594,quercorum,Mainland,Mainland,Mainland,42.3,,11.4,5.2,7.5,5.7,5.2,6.1,8.4,9.7,12.6,0.9,1.1
MCZ,171143,quercorum,Mainland,Mainland,Mainland,43.02,77.31,11.43,5.39,6.91,5.41,5.81,5.92,7.54,9.99,13.6,0.9,1.13
MVZ,215215,reconditus,Trunk Ground,Trunk Ground,Caribbean,87.3,177.7,26.5,11.7,15.5,12.8,13.7,16.2,21,24.7,33.4,1.9,2.1
MVZ,215214,reconditus,Trunk Ground,Trunk Ground,Caribbean,88.5,,26.7,12.4,15.3,14.3,13.9,17.1,22.2,24.7,35.3,2,2.4
USNM,589738,rejectus,Unknown,Unknown,Caribbean,34.06,95.79,10.09,4.92,4.91,3.92,3.65,3.91,6.95,8.17,10.32,0.47,0.64
MVZ,248993,ricordii,Crown Giant,Crown Giant,Caribbean,133.68,239.5,38.36,18.74,22.18,20.51,20.69,20.71,28.07,31.75,40.35,2.53,2.95
MCZ,100353,rivalis,Mainland,Mainland,Mainland,58.36,101,13.96,5.98,8.93,7.41,9.93,9.98,16.83,17.46,21.91,1.06,1.23
MCZ,150950,roatanensis,Mainland,Mainland,Mainland,49.6,106.71,13.58,5.97,8.49,7.35,7.39,9.48,12.55,14.06,18.77,1.01,1.08
USNM,565461,roatanensis,Mainland,Mainland,Mainland,59.8,,15,6.6,9.4,8.6,8.5,9.7,13.8,16.4,20.9,1,1.3
CAS,67200,rodriguezii,Mainland,Mainland,Mainland,36.4,80.6,9.7,4.7,5.7,4.8,4.7,6.1,9.1,9.9,12.9,0.6,0.7
CAS,67201,rodriguezii,Mainland,Mainland,Mainland,39,80.2,10.1,4.9,6,5,5,6.5,9.2,10.2,12.7,0.8,0.8
USNM,578762,rubribarbaris,Mainland,Mainland,Mainland,51.7,124.9,14.5,7.6,8.9,6.8,7.2,9.5,11.2,12.5,19,1.3,1.6
MCZ,63665,rubribarbus,Trunk Ground,Trunk Ground,Caribbean,57.46,85.57,16.17,7.53,9.68,7.32,8.8,9.75,13.03,16.06,20.15,1,1.25
USNM,589713,ruibali,Unknown,Unknown,Caribbean,35.15,72.12,9.42,4.06,5.45,4.4,4.56,4.9,6.37,6.62,9.25,0.65,0.69
MVZ,241235,ruibali,Unknown,Unknown,Caribbean,39.06,65.54,10.79,4.83,6.6,5.18,4.93,5.46,7.2,7.93,10.79,0.8,0.91
MCZ,121740,rupinae,Unknown,Unknown,Caribbean,55.55,125.2,16.12,7.8,8.54,9.12,9.11,10.34,16.06,17.27,24.37,0.87,0.87
CAS,8291,sagrei,Trunk Ground,Trunk Ground,Caribbean,52.3,101,14.4,6.3,8.9,7.8,7.7,9.2,10.9,13.7,18.8,1,1.1
CAS,8290,sagrei,Trunk Ground,Trunk Ground,Caribbean,56,,14.5,6.5,8.9,7.3,7.6,9.8,11.2,14.2,20.9,1,1.3
CAS,8292,sagrei,Trunk Ground,Trunk Ground,Caribbean,62,,16.6,7.5,9.9,9.6,9.6,10.6,12.9,16.5,23.3,1.1,1.4
MCZ,38686,salvini,Mainland,Mainland,Mainland,52.54,66.99,14.41,6.87,8.6,6.39,7.15,9.11,8.7,9.86,16.48,0.97,1.16
MCZ,165523,salvini,Mainland,Mainland,Mainland,59.62,,16.81,8.3,10.45,6.89,7.26,9.36,8.39,10.17,16.99,1.32,1.47
USNM,286910,saxatilis,Trunk Ground,Trunk Ground,Caribbean,56.09,109.33,17.99,8.26,10.46,8.9,9.46,8.37,14.03,15.83,19.67,1.04,1.14
USNM,509317,schwartzi,Unknown,Unknown,Caribbean,37.79,,10.91,5.2,6.18,5.36,5.96,6.78,8.52,10.59,14.34,0.73,0.87
USNM,509321,schwartzi,Unknown,Unknown,Caribbean,39.03,84.54,11.5,5.29,6.52,6.49,6.49,6.76,9.55,10.98,15.43,0.74,0.84
USNM,81287,scriptus,Trunk Ground,Trunk Ground,Caribbean,70.39,117.69,22.21,11.25,13.28,9.92,10.52,11.6,16.94,20.31,25.19,1.68,2.15
USNM,163992,scypheus,Mainland,Ground,Mainland,58.7,118.2,15.9,7,10.3,9.9,9.6,10,16.2,17.7,24,1.1,1.1
USNM,163991,scypheus,Mainland,Ground,Mainland,66.4,125.6,17.3,8.6,10.7,11.2,12.3,13.7,16.3,20.8,28.4,1.1,1.2
USNM,283980,scypheus,Mainland,Ground,Mainland,70,161.9,17.2,7.6,11.1,12.3,13.5,13.2,20.3,21.9,29.6,1,1
USNM,74867,semilineatus,Grass Bush,Grass Bush,Caribbean,34.3,98.2,10.1,5.3,4.9,4.5,4.6,4.9,8.4,10.1,12.8,0.6,0.7
USNM,74866,semilineatus,Grass Bush,Grass Bush,Caribbean,35.9,98.2,11.2,6,5.2,5.2,4.5,5.3,7.8,9.8,13.4,0.5,0.8
USNM,147989,serranoi,Mainland,Mainland,Mainland,57.8,128.6,16.1,7.3,9.6,8.1,8.5,10.5,15.2,16.9,23.5,1,1.1
USNM,194016,sheplani,Twig,Twig,Caribbean,37.5,42.5,10.1,5.4,4.3,3.7,3.4,3.4,4.4,5.2,6.5,0.5,0.6
USNM,194015,sheplani,Twig,Twig,Caribbean,40.3,41.3,11.3,6.1,4.6,4.1,3.6,3.3,5,5.6,6.5,0.5,0.8
CAS,104082,shrevei,Trunk Ground,Trunk Ground,Caribbean,51.7,100.5,15.6,7.1,9.4,7.5,7.7,8.9,11.7,13.4,19.4,1,1.1
USNM,573160,sminthus,Mainland,Mainland,Mainland,46.4,,13,6.2,8.2,6.6,6.4,8.3,10.5,11.6,16.8,0.9,1
USNM,578768,sminthus,Mainland,Mainland,Mainland,49.7,108.4,13.4,6.5,8.4,7,6.4,8.6,11.4,12.4,17.5,1,1.1
MCZ,132371,strahmi,Trunk Ground,Trunk Ground,Caribbean,78.04,146.9,23.3,10.57,13.61,13.43,14.29,12.61,20.64,23.83,26.85,1.72,2.34
CAS,166559,stratulus,Trunk Crown,Trunk Crown,Caribbean,44.1,71.2,13.2,6.5,7.4,6.1,6.3,7,8.7,10.1,13.3,0.9,1.2
USNM,133738,subocularis,Mainland,Mainland,Mainland,43.9,,11.9,6,7.5,6.1,7.8,7.1,10.4,12,15.8,0.8,0.8
USNM,133731,subocularis,Mainland,Mainland,Mainland,45.2,84.7,14,5.6,8,5.9,7.6,7.6,11.2,13,17.2,0.7,0.8
USNM,538278,tandai,Mainland,Ground,Mainland,53.3,98.2,13.6,6,8.7,9.1,9.4,9.2,15.5,16,20.6,0.9,1
USNM,345301,tandai,Mainland,Ground,Mainland,56.37,109.49,14.63,6.19,9.22,10.49,10.34,10.21,17.4,18.32,22.48,0.98,1.07
USNM,132359,taylori,Mainland,Mainland,Mainland,60.3,102.2,15.6,7.8,9.4,9.1,10.6,11.2,14.6,15.5,20.4,1.2,1.3
MVZ,191599,taylori,Mainland,Mainland,Mainland,70.82,133.2,17.92,7.95,10.87,9.26,10.91,11.38,16.92,17.08,23.23,1.43,1.85
CAS,144597,taylori,Mainland,Mainland,Mainland,77.8,153.7,18.8,8.5,11,10.6,12.4,12.5,17.3,19.7,25.6,1.6,1.9
USNM,120755,tolimensis,Mainland,Mainland,Mainland,47.4,91.4,12.3,6.1,7.4,6.1,6.4,8.4,11.3,11.3,15.8,0.9,1
USNM,153791,townsendi,Mainland,Mainland,Mainland,46,81.4,12.4,5.9,7,6,6.8,8.3,10.7,12.9,17.6,0.8,0.9
USNM,153789,townsendi,Mainland,Mainland,Mainland,46.5,77.9,12.3,6.1,7,6.2,7.1,8.2,10.6,12.3,17.6,0.9,1.1
USNM,538316,trachyderma,Mainland,Ground,Mainland,43.9,84.3,10.3,4.2,6,6.1,6.1,7.4,11.6,13.1,17.6,0.7,0.8
USNM,538312,trachyderma,Mainland,Ground,Mainland,47.3,94.4,10.8,5,6.1,6.8,7.4,7.8,12.3,12.9,18.2,0.7,0.9
USNM,75442,tropidolepis,Mainland,Mainland,Mainland,41.9,88.2,11.4,4.9,7.6,6.4,6.6,8.4,12.1,13.3,17.5,0.7,0.9
MVZ,206356,tropidolepis,Mainland,Mainland,Mainland,47.45,93.65,12.2,5.29,7.51,6.79,7.04,9.4,11.8,12.93,18.55,0.79,0.88
MVZ,204061,tropidolepis,Mainland,Mainland,Mainland,49.78,,12.21,5.42,7.69,6.85,6.54,9.14,11.91,13.95,20.48,0.88,1.08
USNM,326160,uniformis,Mainland,Ground,Mainland,36,58.9,10.9,4.8,6.8,6,5.5,6.5,9.6,10.9,13.7,0.5,0.8
USNM,326158,uniformis,Mainland,Ground,Mainland,36.6,,10.7,4.7,6.5,5.3,5.4,6.2,9.3,10.7,13.2,0.6,0.7
USNM,326159,uniformis,Mainland,Ground,Mainland,37.4,,11,4.9,6.4,5.7,5.6,5.5,9.9,11.4,13.9,0.6,0.8
USNM,580306,unilobatus,Mainland,Mainland,Mainland,36.2,89,9.8,4.4,5.7,4.9,5.1,5.6,7.8,8.6,12.1,0.6,0.8
USNM,30153,unilobatus,Mainland,Mainland,Mainland,44.5,86.3,12,6.7,7.1,6.2,7,6.3,9.7,11.5,14.1,0.7,0.9
USNM,244571,valencienni,Twig,Twig,Caribbean,65.5,82.5,18.6,9.1,10.1,8.3,7.2,8,9.9,11.1,14.4,1.2,1.4
USNM,498116,vanidicus,Grass Bush,Grass Bush,Caribbean,34.92,88.06,10.29,5.22,4.48,4.53,4.05,4.01,8.2,8.93,10.27,0.55,0.7
USNM,498121,vanidicus,Grass Bush,Grass Bush,Caribbean,37.89,109.75,10.76,5.54,4.99,4.4,4.23,3.93,7.75,8.51,10.58,0.63,0.8
MCZ,150233,villai,Mainland,Mainland,Mainland,38.6,72.43,10.32,4.49,6.59,6.68,6.72,6.99,9.81,10.4,15.66,0.66,0.7
USNM,50150,vittigerus,Mainland,Mainland,Mainland,62.8,,16.2,7.7,9.8,8.5,8.9,11.1,14.6,16.8,22.5,1.2,1.3
USNM,141813,vittigerus,Mainland,Mainland,Mainland,63,161.4,15.7,6.6,10.3,8.2,8.4,11.6,14.3,16.4,22.7,1.1,1.4
USNM,539197,wampuensis,Mainland,Mainland,Mainland,47.51,81.84,12.81,5.7,8.12,7.39,7.75,8.68,11.82,14.38,20.3,0.69,0.89
USNM,321756,wattsi,Unknown,Unknown,Caribbean,48.27,100.15,14.15,6.19,7.94,7.36,7.2,8.88,11.63,12.97,17.65,0.93,1.12
USNM,239399,websteri,Trunk,Trunk,Caribbean,42.9,,11.3,5.4,7.8,6.6,7.7,7.5,9.7,11.1,14.3,0.9,1.1
MCZ,132390,websteri,Trunk,Trunk,Caribbean,47.87,67.29,12.89,5.99,8.7,8.01,8.53,8.44,10.57,12.21,14.63,1.19,1.42
USNM,580727,wellbornae,Mainland,Mainland,Mainland,48.3,108.1,12.7,5.9,7.2,5.7,6.5,6.9,9.7,11.1,14,0.8,1
USNM,165357,wermuthi,Mainland,Mainland,Mainland,46.58,99.67,12.58,6.01,7.73,6.22,6.73,8.74,10.75,11.6,17.35,0.91,1.02
USNM,531983,wermuthi,Mainland,Mainland,Mainland,49.02,117.81,13.13,6.54,7.95,6.86,7.08,9.99,11.22,12.95,19.66,1.09,1.08
MCZ,171132,woodi,Mainland,Mainland,Mainland,77.44,177.8,19.54,9.79,11.89,12.03,12.15,13.74,20.17,20.57,28.62,1.21,1.52
MVZ,149860,woodi,Mainland,Mainland,Mainland,81.09,,20.7,9.61,12.41,11.29,12.27,13.54,20.82,21.7,29.95,1.44,1.49
USNM,541012,yoroensis,Mainland,Mainland,Mainland,39.6,80,10.7,4.5,6.6,5.2,5.9,6,9.5,10.7,14.2,0.6,0.8
USNM,541019,yoroensis,Mainland,Mainland,Mainland,40.6,,11.2,5.1,7,5.8,6.2,7,10.2,12,15,0.7,1
USNM,565488,zeus,Mainland,Mainland,Mainland,38.3,87.2,10,4.7,5.9,5.7,5.7,5.5,10.2,11.7,15,0.6,0.8